,시간,03-28 (금)
0,최대,140.06
1,최소,-69.76
2,가중평균,89.27
3,01시 1구간,122.71
4,01시 2구간,122.71
5,01시 3구간,122.71
6,01시 4구간,122.71
7,02시 1구간,103.48
8,02시 2구간,103.48
9,02시 3구간,103.48
10,02시 4구간,103.48
11,03시 1구간,96.65
12,03시 2구간,96.65
13,03시 3구간,96.65
14,03시 4구간,96.65
15,04시 1구간,99.04
16,04시 2구간,99.04
17,04시 3구간,99.04
18,04시 4구간,99.04
19,05시 1구간,103.48
20,05시 2구간,103.48
21,05시 3구간,103.48
22,05시 4구간,103.48
23,06시 1구간,124.12
24,06시 2구간,124.12
25,06시 3구간,124.12
26,06시 4구간,124.12
27,07시 1구간,124.37
28,07시 2구간,124.37
29,07시 3구간,124.37
30,07시 4구간,124.37
31,08시 1구간,132.89
32,08시 2구간,132.89
33,08시 3구간,132.89
34,08시 4구간,132.89
35,09시 1구간,130.68
36,09시 2구간,130.68
37,09시 3구간,130.68
38,09시 4구간,130.68
39,10시 1구간,139.92
40,10시 2구간,139.92
41,10시 3구간,139.92
42,10시 4구간,139.92
43,11시 1구간,-50.01
44,11시 2구간,-69.76
45,11시 3구간,-69.76
46,11시 4구간,-69.76
47,12시 1구간,-69.76
48,12시 2구간,-69.76
49,12시 3구간,-69.76
50,12시 4구간,-69.76
51,13시 1구간,-69.76
52,13시 2구간,-69.76
53,13시 3구간,-69.76
54,13시 4구간,-69.76
55,14시 1구간,-69.76
56,14시 2구간,-69.76
57,14시 3구간,-69.76
58,14시 4구간,-69.76
59,15시 1구간,-69.76
60,15시 2구간,-69.76
61,15시 3구간,-69.76
62,15시 4구간,-48.0
63,16시 1구간,0.0
64,16시 2구간,140.06
65,16시 3구간,140.06
66,16시 4구간,140.06
67,17시 1구간,126.17
68,17시 2구간,126.17
69,17시 3구간,126.17
70,17시 4구간,126.17
71,18시 1구간,127.43
72,18시 2구간,127.43
73,18시 3구간,127.43
74,18시 4구간,127.43
75,19시 1구간,134.93
76,19시 2구간,134.93
77,19시 3구간,134.93
78,19시 4구간,134.93
79,20시 1구간,135.75
80,20시 2구간,135.75
81,20시 3구간,135.75
82,20시 4구간,135.75
83,21시 1구간,132.67
84,21시 2구간,132.67
85,21시 3구간,132.67
86,21시 4구간,132.67
87,22시 1구간,130.47
88,22시 2구간,130.47
89,22시 3구간,130.47
90,22시 4구간,130.47
91,23시 1구간,132.07
92,23시 2구간,132.07
93,23시 3구간,132.07
94,23시 4구간,132.07
95,24시 1구간,132.67
96,24시 2구간,132.67
97,24시 3구간,132.67
98,24시 4구간,132.67
